优先级,分类,任务ID,任务,描述,预计,状态,备注
1,Mock数据,FE001,创建mock.js数据库,包含4个子站、8+个详细事件，每个事件有完整的时间线、观点、人物,4h,完成,已生成/Users/mac/code/git/chigua/frontend/src/mock.js
1,Mock数据,FE002,切换API调用使用mock,修改api/index.js从mock数据库读取,2h,待做,
1,Mock数据,FE003,验证所有页面显示mock数据,Home、SitePage、EventDetail、Admin都能正常渲染,3h,待做,
2,页面优化,FE004,Home页 - 增强hero section,添加快速开始指引（搜索、浏览、时间线、观点）,3h,待做,
2,页面优化,FE005,Home页 - 子站卡片改进,增加卡片交互、图标、统计数据,4h,待做,
2,页面优化,FE006,SitePage - 子站简介卡片,添加关于该子站的描述、统计数据,3h,待做,
2,页面优化,FE007,SitePage - 事件分类和排序,实现按栏目筛选、按热度/时间排序,5h,待做,
2,页面优化,FE008,EventDetail - 快速了解卡片,在summary前添加3-5条核心bullet points,2h,待做,
2,页面优化,FE009,EventDetail - 相关事件推荐,右侧添加相关事件小卡片列表,4h,待做,
2,页面优化,FE010,Admin - 示例按钮,添加"示例1""示例2"快速填充示范文案,2h,待做,
2,页面优化,FE011,Admin - 说明和提示,详细说明AI生成会做什么,2h,待做,
3,UX优化,FE012,Empty States - 友好的空状态提示,用图标、解释、建议替代"暂无内容",4h,待做,
3,UX优化,FE013,搜索 - 搜索提示和建议,添加搜索技巧提示,2h,待做,
3,UX优化,FE014,加载状态 - 骨架屏,用EventCardSkeleton替代"加载中…",3h,待做,
3,UX优化,FE015,移动端适配测试,375px、768px、1280px 完整测试,5h,待做,
3,样式,FE016,color定义优化,为4个子站各定义品牌色,2h,待做,
3,样式,FE017,整体样式统一,字号层级、间距、阴影统一,6h,待做,
4,功能增强,FE018,事件分享功能,微博、微信、Twitter分享按钮,3h,待做,
4,功能增强,FE019,观点点赞功能,为评论功能铺垫,2h,待做,
4,功能增强,FE020,相关热词标签,为事件添加可点击的关键词标签,4h,待做,
4,功能增强,FE021,Admin - 历史队列显示,显示已处理和待处理的采集队列,4h,待做,
4,功能增强,FE022,Admin - 生成预览,发布前预览AI整理的结果,3h,待做,
5,设计,FE023,Dark mode支持,实现深色主题,6h,待做,
5,设计,FE024,动效和过渡,页面切换、timeline显示等动效,5h,待做,
5,设计,FE025,品牌视觉强化,"西瓜🍉、瓜皮🥒主题视觉",4h,待做,
