优先级,分类,任务ID,任务标题,描述,预计,状态
1,功能,F001,接入真实AI,替换AiSummarizer.php中的mock，接入OpenAI/Claude API,40h,未开始
1,功能,F002,开发采集脚本,实现微博、NGA、TapTap、B站等数据源的爬虫脚本,60h,未开始
2,功能,F003,事件去重聚类,实现相似事件的聚类和去重算法，减少冗余,50h,未开始
2,功能,F004,评论和讨论模块,为每个事件添加用户评论和讨论功能,80h,未开始
1,性能,P001,SSR / 预渲染,使用预渲染或Next.js实现SSR，改进SEO,100h,未开始
1,性能,P002,JSON-LD结构化数据,为事件页面添加JSON-LD标记，提升搜索引擎理解,20h,未开始
1,性能,P003,Sitemap生成,自动生成XML sitemap，提交搜索引擎,15h,未开始
2,性能,P004,前端性能优化,图片懒加载、代码分割、缓存优化,40h,未开始
2,性能,P005,数据库索引优化,为常用查询字段添加索引，优化SQLite查询性能,20h,未开始
1,基础设施,I001,Docker容器化,编写Dockerfile和docker-compose.yml，便于部署,30h,未开始
2,基础设施,I002,CI/CD流程,配置GitHub Actions自动化测试和部署,40h,未开始
2,基础设施,I003,日志监控,集成日志系统（ELK或其他），便于问题排查,50h,未开始
3,基础设施,I004,多环境配置,分离开发、测试、生产环境配置,15h,未开始
2,质量,Q001,后端单元测试,为PHP后端添加PHPUnit测试覆盖,60h,未开始
2,质量,Q002,前端单元测试,使用Vitest或Jest添加React组件测试,50h,未开始
2,质量,Q003,集成测试,编写端到端(E2E)测试覆盖主要用户流程,60h,未开始
3,质量,Q004,代码规范检查,配置ESLint/PHP-CS-Fixer自动化检查,20h,未开始
3,质量,Q005,错误处理完善,统一的错误处理和日志记录机制,40h,未开始
2,体验,UX001,PWA支持,添加manifest.json和service worker支持,30h,未开始
2,体验,UX002,移动端优化,完善移动端响应式设计，测试各种屏幕,50h,未开始
3,体验,UX003,搜索功能增强,高级搜索、筛选、排序功能完善,35h,未开始
3,体验,UX004,用户反馈系统,集成用户反馈和建议功能,25h,未开始
3,商业,M001,广告位系统,开发和管理广告位投放系统,60h,未开始
3,商业,M002,CPS联盟,实现CPS链接跟踪和返利系统,80h,未开始
3,商业,M003,数据分析面板,用户行为分析和内容热度排行,50h,未开始
